Status,Values,IUCN_year,Taxon
NE+DD,67,I2010,Non_volant
Threatened,53,I2010,Non_volant
Not_threatened,55,I2010,Non_volant
NE+DD,21,I2015,Non_volant
Threatened,106,I2015,Non_volant
Not_threatened,48,I2015,Non_volant
NE+DD,8,I2021,Non_volant
Threatened,123,I2021,Non_volant
Not_threatened,44,I2021,Non_volant
NE+DD,19,I2010,Bats
Threatened,3,I2010,Bats
Not_threatened,22,I2010,Bats
NE+DD,15,I2015,Bats
Threatened,4,I2015,Bats
Not_threatened,25,I2015,Bats
NE+DD,10,I2021,Bats
Threatened,5,I2021,Bats
Not_threatened,29,I2021,Bats
