clado1,mu1,K1,gam1,ana1,clado2,mu2,K2,gam2,ana2
0.295588681,0.249271538,Inf,0.000320462,1.524480368,0.295588681,0.425327174,Inf,0.032556161,1.524480368
0.294031087,0.24025341,Inf,0.000293567,1.49349118,0.294031087,0.419635645,Inf,0.031877242,1.49349118
0.338062749,0.283724538,Inf,0.000328341,1.538533913,0.338062749,0.480835133,Inf,0.036443372,1.538533913
0.322338277,0.272669818,Inf,0.000331914,1.446548924,0.322338277,0.450664065,Inf,0.033516474,1.446548924
0.307290668,0.250576271,Inf,0.00029514,1.534548853,0.307290668,0.450100883,Inf,0.035095069,1.534548853
0.274854056,0.220629434,Inf,0.000276016,1.606627115,0.274854056,0.405608385,Inf,0.031816665,1.606627115
0.28159144,0.231554643,Inf,0.0002952,1.269011687,0.28159144,0.406788308,Inf,0.031365344,1.269011687
0.340021463,0.292178884,Inf,0.000353922,1.605916556,0.340021463,0.488364626,Inf,0.037356816,1.605916556
0.316369877,0.270875561,Inf,0.000342668,1.625732198,0.316369877,0.467583578,Inf,0.036694549,1.625732198
0.327891677,0.285947884,Inf,0.000367672,1.564220521,0.327891677,0.457535077,Inf,0.033982182,1.564220521
0.31170892,0.261692857,Inf,0.000321417,1.191120186,0.31170892,0.440546489,Inf,0.033187453,1.191120186
0.314894805,0.271514574,Inf,0.000349219,1.525437693,0.314894805,0.453785613,Inf,0.034795572,1.525437693
0.321552131,0.269517993,Inf,0.000322679,2.036282535,0.321552131,0.457353676,Inf,0.034606577,2.036282535
0.312012264,0.264392687,Inf,0.000330645,1.910375298,0.312012264,0.460804176,Inf,0.036108157,1.910375298
0.286617197,0.241962158,Inf,0.000318421,1.306333824,0.286617197,0.418673686,Inf,0.032499578,1.306333824
0.34949914,0.30142503,Inf,0.000361469,1.558523322,0.34949914,0.493817542,Inf,0.037180945,1.558523322
0.289719281,0.239444591,Inf,0.000301605,1.388154096,0.289719281,0.419967037,Inf,0.032411711,1.388154096
0.338835638,0.281020539,Inf,0.000317465,1.432275881,0.338835638,0.470589131,Inf,0.034807649,1.432275881
0.29870798,0.253490584,Inf,0.000327434,1.456792005,0.29870798,0.421750452,Inf,0.031711628,1.456792005
0.326197935,0.277362538,Inf,0.000338299,1.651206357,0.326197935,0.468131742,Inf,0.035750014,1.651206357
0.27468575,0.221276588,Inf,0.000278201,1.528453723,0.27468575,0.410198813,Inf,0.032448859,1.528453723
0.314624163,0.267315863,Inf,0.000333923,1.928771665,0.314624163,0.457079343,Inf,0.035340969,1.928771665
0.291248335,0.244196098,Inf,0.000314001,1.268676749,0.291248335,0.410405018,Inf,0.030796623,1.268676749
0.310018889,0.251482955,Inf,0.000291842,1.380548545,0.310018889,0.440055976,Inf,0.033253214,1.380548545
0.2812419,0.221807053,Inf,0.000266072,1.327144776,0.2812419,0.409512327,Inf,0.031726674,1.327144776
0.302536355,0.255890345,Inf,0.000325582,1.61536245,0.302536355,0.451133615,Inf,0.035761194,1.61536245
0.310104826,0.264858422,Inf,0.000337678,1.379882876,0.310104826,0.442763828,Inf,0.033696234,1.379882876
0.296937486,0.229858463,Inf,0.000257709,1.40281925,0.296937486,0.430082932,Inf,0.033123151,1.40281925
0.349283359,0.306281355,Inf,0.000382421,1.615899499,0.349283359,0.493369335,Inf,0.037147791,1.615899499
0.272621995,0.220430358,Inf,0.000280137,1.350014237,0.272621995,0.402686736,Inf,0.031589066,1.350014237
0.314368269,0.262234928,Inf,0.000316342,1.795467119,0.314368269,0.447976577,Inf,0.033957462,1.795467119
0.282581792,0.222879768,Inf,0.000266403,1.338917274,0.282581792,0.407531664,Inf,0.031254403,1.338917274
0.293367745,0.239748139,Inf,0.000293401,1.428204076,0.293367745,0.420128616,Inf,0.032071933,1.428204076
0.326403108,0.270202447,Inf,0.000312574,1.643692723,0.326403108,0.463759064,Inf,0.035071746,1.643692723
0.351799411,0.309053045,Inf,0.000385979,1.78128768,0.351799411,0.493537387,Inf,0.03685937,1.78128768
0.303475113,0.258055739,Inf,0.000331127,1.875010732,0.303475113,0.442721642,Inf,0.034408991,1.875010732
0.316257416,0.263138689,Inf,0.000314334,1.538724835,0.316257416,0.44811564,Inf,0.03380711,1.538724835
0.355574249,0.315748187,Inf,0.00040262,2.122456537,0.355574249,0.507452235,Inf,0.038564934,2.122456537
0.350052594,0.299472995,Inf,0.000352154,1.712137629,0.350052594,0.490109289,Inf,0.036526929,1.712137629
0.307912606,0.259852832,Inf,0.000325332,1.404322558,0.307912606,0.438839583,Inf,0.033315979,1.404322558
0.305659362,0.246119677,Inf,0.000285419,1.711353216,0.305659362,0.456216102,Inf,0.03607314,1.711353216
0.31973985,0.278591662,Inf,0.00036401,1.392985128,0.31973985,0.444392744,Inf,0.03287427,1.392985128
